0, 200.0, 1.6
0, 212.0, 1.6
0, 224.0, 1.6
0, 236.0, 1.6
-2, 248.0, 1.6
-2, 260.0, 1.6
0, 272.0, 1.6
2, 284.0, 1.6
4, 296.0, 1.6
6, 308.0, 1.6
8, 320.0, 1.6
10, 332.0, 1.6
8, 344.0, 1.6
6, 356.0, 1.6
4, 368.0, 1.6
2, 380.0, 1.6
0, 392.0, 1.6
0, 404.0, 1.6
-2, 416.0, 1.6
-2, 428.0, 1.6
-4, 440.0, 1.6
-6, 452.0, 1.6
-6, 464.0, 1.6
-6, 476.0, 1.6
-6, 488.0, 1.6
-8, 500.0, 1.6
-10, 512.0, 1.6
-10, 524.0, 1.6
-10, 536.0, 1.6
-12, 548.0, 1.6
-12, 560.0, 1.6
-12, 572.0, 1.6
-12, 584.0, 1.6
-10, 596.0, 1.6
-8, 608.0, 1.6
-6, 620.0, 1.6
-4, 632.0, 1.6
-2, 680.0, 1.6
0, 740.0, 1.6
2, 752.0, 1.6
4, 764.0, 1.6
6, 776.0, 1.6
8, 788.0, 1.6
10, 800.0, 1.6
12, 812.0, 1.6
12, 824.0, 1.6
12, 836.0, 1.6
12, 848.0, 1.6
12, 860.0, 1.6
12, 872.0, 1.6
12, 884.0, 1.6
10, 896.0, 1.6
10, 908.0, 1.6
10, 920.0, 1.6
10, 932.0, 1.6
10, 944.0, 1.6
10, 956.0, 1.6
10, 968.0, 1.6
10, 980.0, 1.6
10, 992.0, 1.6
10, 1004.0, 1.6
12, 1016.0, 1.6
12, 1028.0, 1.6
12, 1040.0, 1.6
12, 1052.0, 1.6
